opportunity_id	product_id	gsfa_customer_id	avg_weight	committed_product_revenue	potential_product_revenue	number_of_shipments	origin	destination	product_line	main_competitor	secondary_competitor	dhl_current_transit_time	dhl_transit_time_status
1-7FXI735	1-LRWO4-6	COMET_1-7FXI71I	              50.0000000	48.000000	48.000000	               1.0000000	CHILE	North America	?	?	?	?	?
1-7HC9718	1-LRWO4-16	CLSCSV_01140111179523	             100.0000000	48.000000	48.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Freight Forwarder	?	?	?
1-6XPQJVV	1-LRWO4-6	CLSCSV_0409019066204	              20.0000000	90.000000	90.000000	              10.0000000	CHILE	GERMANY	?	UPS	?	3	Equal
1-6SWLL6R	1-LRWO4-16	CLS79669CS	             100.0000000	48.000000	60.000000	               4.0000000	Europe	CHILE	?	FedEx	?	?	?
1-7GZT0SU	1-LRWO4-16	COMET_1-CB20SN	                .5000000	16.980000	16.980000	               5.0000000	Asia	CHILE	?	NONE	?	?	?
1-6UVS1A5	1-LRWO4-16	CLSCSV_0801019895642	               5.0000000	24.000000	24.000000	               2.0000000	Asia	CHILE	?	FedEx	?	?	?
1-6G9KU26	1-LRWO4-16	CLSCSV_0422019152470	              10.0000000	51.420000	51.420000	               4.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	FedEx	?	?	?
1-6PPCWU0	1-LRWO4-16	CLCSINC28279559_317	              20.0000000	48.600000	48.600000	               3.0000000	UNITED STATES OF AMERICA	CHILE	?	Hot Express Chiletrans Courier	FedEx	1	Faster
1-6ZSPB93	1-LRWO4-6	CLSCSV_1002018288900	                .5000000	18.000000	18.000000	               4.0000000	CHILE	Asia	?	Other	?	?	?
1-7FQ9CAC	1-LRWO4-6	COMET_1-7FQ9C4S	              10.0000000	36.000000	36.000000	               5.0000000	CHILE	Europe	?	?	?	?	?
1-6SJFC42	1-LRWO4-16	CLSCSV_0607019477969	              35.0000000	27.000000	27.000000	               2.0000000	UNITED STATES OF AMERICA	CHILE	?	OTHER	?	1	Faster
1-6NBW31Q	1-LRWO4-16	CLC10003861	             200.0000000	150.000000	150.000000	               3.0000000	Europe	CHILE	?	FedEx	?	?	?
1-72Y4K6N	1-LRWO4-16	CLSCSV_10010110395248	              30.0000000	24.000000	24.000000	               1.0000000	MEXICO	CHILE	?	?	?	2	Equal
1-65F70QA	1-LRWO4-6	COMET_1-65F70NP	              15.0000000	36.000000	36.000000	               3.0000000	CHILE	Europe	?	FedEx	?	?	?
1-6A752M9	1-LRWO4-23	COMET_1-6A6YEDR	               4.0000000	240.000000	240.000000	              25.0000000	North America	BRAZIL	?	FedEx	?	?	?
1-7A5ZMUA	1-LRWO4-6	COMET_1-4BV290	               2.0000000	36.000000	36.000000	              10.0000000	CHILE	Asia	?	?	?	?	?
1-6LXIM9K	1-LRWO4-16	CLS83616CS	               2.0000000	24.000000	24.000000	               8.0000000	SPAIN	CHILE	?	?	?	2	Equal
1-7F8SHWS	1-LRWO4-16	CLSCSV_12300111070333	               1.0000000	22.800000	22.800000	               3.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6O85T2J	1-LRWO4-16	CLSION_0612019524440	               2.0000000	13.447200	13.447200	               2.0000000	Asia	CHILE	?	FedEx	?	?	?
1-78EKAG6	1-LRWO4-16	CLSCSV_1213015326972	             120.0000000	43.800000	43.800000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-63CIGH9	1-LRWO4-16	CLSISL_1226018995855	              20.0000000	132.000000	132.000000	              10.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-6FO8NGL	1-LRWO4-5	CLSCSV_0411019085904	                .5000000	?	2.220000	               1.0000000	CHILE	ECUADOR	?	OTHER	?	?	?
1-77R7MDE	1-LRWO4-16	CLSCSV_10260110586161	              20.0000000	90.000000	168.000000	               4.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6EVW7OI	1-LRWO4-16	CLC10000412	                .5000000	35.340000	35.340000	              10.0000000	UNITED STATES OF AMERICA	CHILE	?	FedEx	?	1	Faster
1-7KMMNPA	1-LRWO4-16	COMET_1-5P2M6FD	              87.0000000	61.140000	61.140000	               1.0000000	Asia	CHILE	?	OTHER	?	?	?
1-6E66ONS	1-LRWO4-16	COMET_1-486ECOX	              50.0000000	210.907200	210.907200	               8.0000000	Europe	CHILE	?	?	?	?	?
1-7BDBBBG	1-LRWO4-16	COMET_1-6F53Q19	              87.0000000	59.460000	59.460000	               1.0000000	Asia	CHILE	?	Freight Forwarder	?	?	?
1-7FMQ5AU	1-LRWO4-6	CLSCSV_01020111089850	              20.0000000	18.000000	18.000000	               1.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	Other	?	?	?
1-6A9KEIM	1-LRWO4-16	CLC10000914	             150.0000000	300.000000	300.000000	               5.0000000	GERMANY	CHILE	?	Freight Forwarder	?	2	Equal
1-7CKPYM4	1-LRWO4-5	CLSCSV_12040110903078	                .5000000	1.438200	2.212200	               1.0000000	CHILE	PERU	?	?	?	1	Faster
1-6EPH46E	1-LRWO4-34	CLSION_0322018944024	                .5000000	15.540000	15.540000	              50.0000000	CHILE	CHILE	?	Chile Express	?	?	?
1-6HU950G	1-LRWO4-6	COMET_1-6HU9509	              10.0000000	120.000000	60.000000	              15.0000000	CHILE	Europe	?	Correos de Chile	?	?	?
1-6ZNOS0P	1-LRWO4-16	CLS51403CS	              48.0000000	32.100000	32.100000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Freight Forwarder	?	?	?
1-6J6252B	1-LRWO4-16	CLS69554CS	             250.0000000	2142.000000	2142.000000	              20.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Freight Forwarder	?	?	?
1-72XRXI1	1-LRWO4-16	CLSCSV_10020110404909	              40.0000000	6.000000	60.000000	               3.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	UPS	FedEx	?	?
1-6VOIOPP	1-LRWO4-16	CLSSME_0110015567004	            1371.0000000	412.620000	412.620000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-74LMVYG	1-LRWO4-6	COMET_1-74LMVY1	               9.0000000	30.000000	30.000000	               6.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-6F4R8KX	1-LRWO4-16	CLC10000752	             100.0000000	40.200000	40.200000	               1.0000000	FRANCE	CHILE	?	Freight Forwarder	?	2	Equal
1-75IG238	1-LRWO4-16	COMET_1-66DOA1G	              25.0000000	24.000000	24.000000	               2.0000000	North America	CHILE	?	?	?	?	?
1-6EUHNO3	1-LRWO4-23	COMET_1-5S5NV0J	              12.0000000	?	180.000000	              20.0000000	DENMARK	SPAIN	?	?	?	1	Equal
1-7LFGJZN	1-LRWO4-34	CLSCSV_02110111370377	               1.0000000	?	7.200000	              20.0000000	CHILE	CHILE	?	?	?	?	?
1-73TZHC2	1-LRWO4-16	CLSCSV_10090110455259	              10.0000000	12.000000	12.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-7KG12SG	1-LRWO4-16	CLC10004242	             120.0000000	42.300000	42.300000	               1.0000000	North America	CHILE	?	NONE	?	?	?
1-6RZG31O	1-LRWO4-16	CLC10000297	              13.7000000	0.060000	2439.480000	             470.0000000	Europe	CHILE	?	DGF	Freight Forwarder	?	?
1-68NDT1B	1-LRWO4-23	CLCSINC26941394_141	              40.0000000	60.000000	60.000000	              10.0000000	FRANCE	ARGENTINA	?	UPS	FedEx	2	Equal
1-6O6PALX	1-LRWO4-16	CLSCSV_0617019544276	               5.0000000	7.800000	8.400000	               1.0000000	MEXICO	CHILE	?	OTHER	?	2	Equal
1-6BDR8ZC	1-LRWO4-5	CLSION_0311018868670	              10.0000000	21.000000	21.000000	               1.0000000	CHILE	Asia	?	OTHER	?	?	?
1-7HA6TNJ	1-LRWO4-34	CLS45588CS	               5.0000000	18.000000	18.000000	              10.0000000	CHILE	CHILE	?	?	?	?	?
1-64RSTYO	1-LRWO4-16	COMET_1-3CHY21R	              16.0000000	23.280000	23.280000	               1.0000000	MEXICO	CHILE	?	?	?	2	Equal
1-6AH6L8H	1-LRWO4-16	CLSPR08060276	              40.0000000	36.000000	36.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-6EHST3I	1-LRWO4-5	COMET_1-4GSV73Z	                .5000000	1.200000	1.200000	               1.0000000	CHILE	South America	?	?	?	?	?
1-6XNSI8P	1-LRWO4-16	CLC10003814	             100.0000000	60.000000	60.000000	               2.0000000	North America	CHILE	?	?	?	?	?
1-75V9U3L	1-LRWO4-16	CLSCSV_10160110509471	              30.0000000	21.000000	21.000000	               1.0000000	PERU	CHILE	?	Other	?	1	Equal
1-65PTW3G	1-LRWO4-16	CLCSINC26150679_2050	               5.0000000	32.640000	33.240000	               2.0000000	Asia	CHILE	?	Other	?	?	?
1-14BNB9-279	1-LRWO4-16	COMET_1-OQK3YB	              10.0000000	42.000000	42.000000	               3.0000000	Asia	CHILE	?	Other	?	?	?
1-77COV7C	1-LRWO4-16	CLC10011800	               9.0000000	20.640000	20.640000	               1.0000000	SPAIN	CHILE	?	?	?	2	Equal
1-71TCHXO	1-LRWO4-16	CLS84082CS	             113.0000000	36.000000	36.000000	               1.0000000	SPAIN	CHILE	?	Other	?	2	Equal
1-7MGVDDJ	1-LRWO4-16	COMET_1-63MHY1	              36.5000000	?	28.264200	               1.0000000	FRANCE	CHILE	?	?	?	2	Equal
1-6UDTZ5P	1-LRWO4-16	COMET_1-1809S5O	              20.0000000	24.000000	24.000000	               1.0000000	ITALY	CHILE	?	?	?	2	Equal
1-6X3NFVF	1-LRWO4-6	CLSCSV_0809019959108	               5.0000000	?	10.680000	               1.0000000	CHILE	Asia	?	Other	?	?	?
1-6FN05RN	1-LRWO4-16	CLCSINC26941394_353	              30.0000000	72.000000	72.000000	               3.0000000	Asia	CHILE	?	?	?	?	?
1-6RRDM5L	1-LRWO4-16	CLSION_0613019521838	             300.0000000	?	240.000000	               3.0000000	North America	CHILE	?	?	?	?	?
1-64S0USN	1-LRWO4-16	CLS76370CS	                .5000000	7.200000	7.200000	               2.0000000	SPAIN	CHILE	?	Other	?	2	Equal
1-64RY9G0	1-LRWO4-16	CLSION_0118018566817	               1.0000000	24.000000	24.000000	               1.0000000	JAPAN	CHILE	?	Otros	?	2	Equal
1-6XATTOZ	1-LRWO4-16	COMET_1-1H25L6T	             145.0000000	44.460000	44.460000	               1.0000000	GERMANY	CHILE	?	Other	?	2	Equal
1-6DBGH1Y	1-LRWO4-16	CLSCSV_0328018992563	              50.0000000	48.000000	48.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6WSG4CP	1-LRWO4-16	COMET_1-6WRJBLT	              50.0000000	60.000000	60.000000	              10.0000000	Europe	CHILE	?	FedEx	?	?	?
1-6V92WNI	1-LRWO4-16	CLC10012225	              75.0000000	60.000000	60.000000	               2.0000000	TURKEY	CHILE	?	FedEx	?	2	Faster
1-6Z3WYUD	1-LRWO4-16	CLSCSV_0708019710673	              71.0000000	20.340000	20.340000	               1.0000000	Europe	CHILE	?	NONE	?	?	?
1-6LZDV1L	1-LRWO4-16	CLS36275CS	              10.0000000	24.000000	24.000000	               2.0000000	SPAIN	CHILE	?	?	?	2	Equal
1-6AV3HXK	1-LRWO4-16	CLC10000953	              10.0000000	18.000000	21.600000	               2.0000000	Europe	CHILE	?	?	?	?	?
1-66SR430	1-LRWO4-16	COMET_1-UV3QZL	             185.0000000	67.200000	67.200000	               1.0000000	ITALY	CHILE	?	Freight Forwarder	?	2	Equal
1-74EAVCH	1-LRWO4-16	COMET_1-MO2GYI	               7.0000000	90.000000	90.000000	               4.0000000	Asia	CHILE	?	?	?	?	?
1-6YDIT0V	1-LRWO4-16	CLSCSV_0730019874119	               3.0000000	10.800000	12.000000	               1.0000000	Asia	CHILE	?	OTHER	?	?	?
1-6VEAQY1	1-LRWO4-5	CLSCSV_0104019049934	                .5000000	62.700000	62.700000	              20.0000000	CHILE	Asia	?	Other	?	?	?
1-717MNS3	1-LRWO4-16	CLSCSV_1005018324373	              35.0000000	42.000000	42.000000	               1.0000000	INDIA	CHILE	?	Other	?	3	Equal
1-6VK62D7	1-LRWO4-16	CLSCSV_0808019952004	               5.0000000	12.000000	12.000000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-6IERK45	1-LRWO4-16	CLSCSV_0506019240689	              20.0000000	53.340000	53.340000	               2.0000000	KOREA, REPUBLIC OF (SOUTH K.)	CHILE	?	Other	?	2	Equal
1-74D4VIU	1-LRWO4-16	CLS28307CS	               5.0000000	17.760000	17.760000	               1.0000000	Europe	CHILE	?	Other	?	?	?
1-7DCE30S	1-LRWO4-6	CLSCSV_12090110942854	              25.0000000	13.800000	13.800000	               1.0000000	CHILE	PERU	?	Other	?	1	Faster
1-6X3NYO8	1-LRWO4-6	CLS86744WL	             185.0000000	54.480000	54.480000	               1.0000000	CHILE	BRAZIL	?	?	?	2	Equal
1-6UDX4FO	1-LRWO4-16	CLSION_0726019854778	               6.0000000	7.200000	9.000000	               1.0000000	Asia	CHILE	?	OTHER	?	?	?
1-7JCE0MY	1-LRWO4-16	CLS45699CS	             298.0000000	104.760000	104.760000	               1.0000000	FRANCE	CHILE	?	Freight Forwarder	?	2	Equal
1-747XC17	1-LRWO4-16	CLSCSV_1030018528475	              35.0000000	86.841600	86.841600	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	FedEx	?	?	?
1-6QOLWRM	1-LRWO4-6	CLSION_0624019596344	              20.0000000	6.000000	6.000000	               5.0000000	CHILE	South America	?	Correos de Chile	?	?	?
1-7GRO3FH	1-LRWO4-16	CLC10001881	             200.0000000	60.000000	60.000000	               1.0000000	North America	CHILE	?	?	?	?	?
1-6AOIUC1	1-LRWO4-16	COMET_1-1HDVY8M	              75.3000000	135.900000	135.900000	               3.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-7AUCEGB	1-LRWO4-16	CLSION_11280110856805	              10.0000000	30.000000	30.000000	               1.0000000	ISRAEL	CHILE	?	?	?	2	Faster
1-776EIKE	1-LRWO4-16	COMET_1-5QCWO0H	               5.0000000	10.800000	10.800000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-6GRTKXY	1-LRWO4-16	CLSCSV_0418019140548	              25.0000000	11.220000	11.220000	               1.0000000	ARGENTINA	CHILE	?	Other	?	1	Equal
1-653BBLD	1-LRWO4-16	CLSCSV_0125018601958	               7.0000000	29.280000	29.280000	               4.0000000	UNITED STATES OF AMERICA	CHILE	?	FedEx	?	1	Faster
1-7H5HGIL	1-LRWO4-16	COMET_1-7H4K0B1	              40.0000000	22.620000	22.620000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-6ZZQQXA	1-LRWO4-16	CLSCSV_08230110051682	              15.0000000	90.000000	90.000000	              15.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-72CLRTX	1-LRWO4-34	CLC10002109	              15.0000000	0.000000	210.000000	            1000.0000000	CHILE	CHILE	?	Chile Express	?	?	?
1-7I6L063	1-LRWO4-16	CLSCSV_01200111216332	              20.0000000	15.000000	15.000000	               1.0000000	COLOMBIA	CHILE	?	Other	?	2	Slower
1-6N4QG7F	1-LRWO4-16	CLS78122IS	              30.0000000	25.800000	25.800000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-6CCUQJ1	1-LRWO4-34	COMET_1-3CHY21R	             364.0000000	188.100000	188.100000	               1.0000000	CHILE	CHILE	?	Freight Forwarder	?	?	?
1-763D8S4	1-LRWO4-16	CLS86629WL	               1.0000000	70.680000	70.680000	             100.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	FedEx	?	?	?
1-7BZCN1A	1-LRWO4-16	CLSION_12050110913497	               1.0000000	24.000000	24.000000	              10.0000000	COLOMBIA	CHILE	?	Other	?	2	Slower
1-7B40O85	1-LRWO4-6	COMET_1-3G8W26L	               5.0000000	240.000000	240.000000	              81.0000000	CHILE	Europe	?	?	?	?	?
1-65TTLTH	1-LRWO4-16	CLSCSV_0204018649939	              60.0000000	46.980000	46.980000	               1.0000000	GERMANY	CHILE	?	FedEx	?	2	Equal
1-6BBCFW8	1-LRWO4-16	CLS63384CS	              12.0000000	15.420000	15.420000	               1.0000000	GERMANY	CHILE	?	Other	?	2	Equal
1-7I61Q5C	1-LRWO4-16	CLWINBACK07_0563	              35.0000000	40.380000	40.380000	               1.0000000	North America	CHILE	?	?	?	?	?
1-717UNUF	1-LRWO4-6	CLS67761CS	               1.0000000	12.000000	12.000000	              10.0000000	CHILE	COLOMBIA	?	?	?	2	Equal
1-64KHT8F	1-LRWO4-16	CLSION_0118018570400	              20.0000000	48.000000	96.000000	               2.0000000	Asia	CHILE	?	?	?	?	?
1-6MNDC2O	1-LRWO4-20	CLSCSV_0214015977826	             100.0000000	90.000000	90.000000	               1.0000000	North America	CHILE	?	FedEx	?	?	?
1-6CKK0FW	1-LRWO4-16	CLSCSV_0325018964756	               1.0000000	7.800000	7.800000	               1.0000000	SOUTH AFRICA	CHILE	?	?	?	3	Equal
1-6DS83E7	1-LRWO4-16	CLSCSV_0329018998013	               5.0000000	24.000000	24.000000	               8.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-7I151ME	1-LRWO4-16	CLS37959CS	              23.0000000	?	11.280000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-732Q3UI	1-LRWO4-6	COMET_1-72YGFST	               3.0000000	18.000000	18.000000	               2.0000000	CHILE	HAITI	?	?	?	2	Faster
1-6GMC3HE	1-LRWO4-6	COMET_1-3NF4FTK	              61.0000000	66.780000	66.780000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	Freight Forwarder	?	1	Faster
1-6OEYR3D	1-LRWO4-16	CLSCSV_0618019561488	              50.0000000	48.000000	48.000000	               6.0000000	GERMANY	CHILE	?	?	?	2	Equal
1-75ILZ2Z	1-LRWO4-16	CLSCSV_0206018664595	              80.0000000	36.000000	36.000000	               1.0000000	Europe	CHILE	?	?	?	?	?
1-764OI9F	1-LRWO4-16	CLSCSV_09030110147648	               5.0000000	48.000000	48.000000	               3.0000000	Europe	CHILE	?	FedEx	?	?	?
1-6LG6DBR	1-LRWO4-15	CLS32402IS	                .5000000	6.000000	6.000000	               2.0000000	South America	CHILE	?	?	?	?	?
1-78Q2KPD	1-LRWO4-16	CLSCSV_0715019762473	              35.0000000	12.600000	12.600000	               1.0000000	ARGENTINA	CHILE	?	Other	?	1	Equal
1-6PTWRK3	1-LRWO4-16	CLSCSV_0903018025396	             100.0000000	150.000000	150.000000	               2.0000000	North America	CHILE	?	Freight Forwarder	?	?	?
1-79ZGGBB	1-LRWO4-6	COMET_1-SI7QWP	               5.0000000	21.000000	24.000000	               3.0000000	CHILE	Europe	?	?	?	?	?
1-14BNB9-810	1-LRWO4-16	COMET_1-1Y7I3U3	             150.0000000	58.380000	58.380000	               1.0000000	GERMANY	CHILE	?	Freight Forwarder	?	2	Equal
1-6OSNIY4	1-LRWO4-16	COMET_1-6OSNIXN	              20.0000000	60.000000	60.000000	              10.0000000	North America	CHILE	?	FedEx	?	?	?
1-7IIN7QX	1-LRWO4-6	COMET_1-4HSYD75	               1.0000000	3.567600	3.567600	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	?	?	1	Faster
1-6YDSQSJ	1-LRWO4-6	CLC10005004	              40.0000000	36.000000	36.000000	               1.0000000	CHILE	South America	?	Freight Forwarder	?	?	?
1-74EBCJE	1-LRWO4-16	COMET_1-1YUSBO0	              95.0000000	24.900000	24.900000	               1.0000000	SPAIN	CHILE	?	Freight Forwarder	?	2	Equal
1-6SJOMKH	1-LRWO4-16	CLSCSV_0718019784207	              10.0000000	42.000000	48.000000	               2.0000000	Europe	CHILE	?	OTHER	?	?	?
1-65VNVAP	1-LRWO4-16	CLCSINC26150679_601	               5.0000000	10.800000	12.000000	               1.0000000	Asia	CHILE	?	Other	?	?	?
1-7GDGEQX	1-LRWO4-6	CLSCSV_12130110980184	               5.0000000	21.000000	21.000000	              20.0000000	CHILE	South America	?	?	?	?	?
1-7JCM1HX	1-LRWO4-16	CLS904CS	              95.0000000	33.900000	33.900000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-6RLA8YG	1-LRWO4-16	COMET_1-6RL2ZF5	              30.0000000	44.280000	44.308800	               2.0000000	UNITED STATES OF AMERICA	CHILE	?	Other	?	1	Faster
1-67HUOB0	1-LRWO4-16	CLSCSV_0205018657588	              10.0000000	25.800000	25.800000	               3.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-6FHKI85	1-LRWO4-16	CLSCSV_0404019039834	              15.0000000	24.780000	24.780000	               1.0000000	Asia	CHILE	?	Other	?	?	?
1-6A07Z4J	1-LRWO4-23	COMET_1-NB0Z1D	              30.0000000	?	?	               1.0000000	Europe	PERU	?	?	?	?	?
1-71TMU3I	1-LRWO4-16	CLSCSV_08190110008341	              50.0000000	30.000000	30.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	Other	?	?	?
1-6WG5XUE	1-LRWO4-16	CLS85116CS	               1.0000000	6.000000	6.000000	               1.0000000	Asia	CHILE	?	NONE	?	?	?
1-797D175	1-LRWO4-16	CLSCSV_0507019249000	              58.0000000	26.400000	26.400000	               1.0000000	North America	CHILE	?	OTHER	?	?	?
1-721QT69	1-LRWO4-16	CLSCSV_09100110199904	              15.0000000	25.800000	25.800000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6A7FTXB	1-LRWO4-6	CLS55609CS	               1.0000000	3.780000	3.780000	               1.0000000	CHILE	South America	?	?	?	?	?
1-7AF28G6	1-LRWO4-6	CLC10012301	                .5000000	6.000000	6.000000	               2.0000000	CHILE	South America	?	NONE	?	?	?
1-7I6KZTV	1-LRWO4-16	CLSCSV_01200111217186	              10.0000000	24.240000	24.240000	               2.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-7HUFG7P	1-LRWO4-6	CLSCSV_01170111211493	              30.0000000	33.000000	33.000000	               1.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	?	?	?	?
1-7FO1W30	1-LRWO4-16	COMET_1-6QU4QBR	              20.0000000	60.000000	60.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	FedEx	?	?	?
1-63M0UMN	1-LRWO4-16	COMET_1-63BXMRE	              10.0000000	96.000000	96.000000	              10.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-785IOAK	1-LRWO4-16	COMET_1-35ERJAD	             950.0000000	534.000000	534.000000	               1.0000000	Asia	CHILE	?	?	?	?	?
1-143AOV-19	1-LRWO4-5	COMET_1-35SNJL5	                .5000000	9.000000	9.000000	               3.0000000	CHILE	PERU	?	?	?	1	Faster
1-6DM0GGB	1-LRWO4-16	CLSCSV_0328018996472	               2.0000000	6.000000	6.000000	               1.0000000	North America	CHILE	?	FedEx	?	?	?
1-79YWM56	1-LRWO4-16	CLSCSV_11180110774518	              20.0000000	24.000000	24.000000	               1.0000000	ITALY	CHILE	?	FedEx	?	2	Equal
1-74KICUO	1-LRWO4-16	COMET_1-7RX2OJ	               5.0000000	30.000000	30.000000	               3.0000000	Europe	CHILE	?	Freight Forwarder	?	?	?
1-7J45D7M	1-LRWO4-16	CLSCSV_01060111112635	              30.0000000	24.000000	24.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-670P2UV	1-LRWO4-6	CLSCSV_0215018712963	               5.0000000	14.280000	14.280000	               1.0000000	CHILE	INDIA	?	FedEx	?	4	Slower
1-7FA8HLW	1-LRWO4-6	CLC10000673	               1.0000000	0.060000	0.060000	               1.0000000	CHILE	UNITED STATES OF AMERICA	?	Other	?	1	Faster
1-7GSAGW5	1-LRWO4-16	CLSCSV_01100111146536	              10.0000000	18.000000	18.000000	               1.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-6Z3M8DO	1-LRWO4-16	CLSCSV_09020110122462	               5.0000000	60.000000	60.000000	               5.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-66CPXZ9	1-LRWO4-16	CLCSINC26150679_434	              25.0000000	24.000000	24.000000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	TNT	?	1	Faster
1-65X04VH	1-LRWO4-16	CLSCSV_0201015837614	             200.0000000	57.600000	57.600000	               1.0000000	UNITED STATES OF AMERICA	CHILE	?	Freight Forwarder	?	1	Faster
1-69638RZ	1-LRWO4-6	CLSION_0228018795819	              10.0000000	14.807400	20.566200	               1.0000000	CHILE	GERMANY	?	?	?	3	Equal
1-6VK6MDZ	1-LRWO4-16	COMET_1-65EYEK8	               4.0000000	24.000000	24.000000	               4.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-6XPKJGW	1-LRWO4-5	CLSION_08230110043987	                .5000000	8.460000	8.460000	               3.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	Correos de Chile	?	?	?
1-6C6QIK1	1-LRWO4-16	CLCSINC26702865_10	              15.0000000	12.060000	12.060000	               1.0000000	MEXICO	CHILE	?	Other	?	2	Equal
1-6577141	1-LRWO4-6	CLS58439CS	               8.0000000	36.000000	36.000000	               2.0000000	CHILE	Europe	?	FedEx	?	?	?
1-6QNHTQM	1-LRWO4-6	COMET_1-54O2WQV	              10.0000000	9.000000	9.000000	               1.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	?	?	?	?
1-680ELLO	1-LRWO4-16	COMET_1-3SJHDIM	             240.0000000	80.040000	80.040000	               1.0000000	PORTUGAL	CHILE	?	Freight Forwarder	?	2	Faster
1-6MYFZP8	1-LRWO4-5	COMET_1-ZP0VSW	                .5000000	4.800000	4.800000	               2.0000000	CHILE	South America	?	?	?	?	?
1-63TU05F	1-LRWO4-16	CLSCSV_0110018524966	                .5000000	30.000000	30.000000	               5.0000000	South America	CHILE	?	?	?	?	?
1-6UFR7HD	1-LRWO4-16	CLS94763IS	              20.0000000	36.000000	51.000000	               2.0000000	UNITED STATES OF AMERICA	CHILE	?	?	?	1	Faster
1-747SGVF	1-LRWO4-16	CLC10002076	             200.0000000	228.000000	228.000000	               4.0000000	Europe	CHILE	?	Freight Forwarder	?	?	?
1-6XPQD4V	1-LRWO4-16	CLSION_08220110043749	              10.0000000	120.000000	120.000000	              10.0000000	CHINA, PEOPLES REPUBLIC	CHILE	?	?	?	?	?
1-7I7ERMX	1-LRWO4-16	CLSCSV_0704017330673	              25.0000000	?	6.000000	               2.0000000	ITALY	CHILE	?	?	?	2	Equal
1-6MIBSJL	1-LRWO4-6	CLSION_0601019437344	               1.0000000	4.252800	5.907000	               1.0000000	CHILE	ITALY	?	?	?	4	Equal
1-77ECEI8	1-LRWO4-34	CLSION_1204015250055	               5.0000000	6.000000	6.000000	              20.0000000	CHILE	CHILE	?	?	?	?	?
1-6UKSZ1L	1-LRWO4-16	CLS84082CS	              35.0000000	168.000000	168.000000	               5.0000000	SPAIN	CHILE	?	Other	?	2	Equal
1-7GBD525	1-LRWO4-6	CLS54898CS	              50.0000000	12.000000	12.000000	               1.0000000	CHILE	CHINA, PEOPLES REPUBLIC	?	Freight Forwarder	?	?	?
